Timestamp,Event
19:49:24:1,Prompted: LookLeft
19:49:24:1,Attempt: Correct
19:49:24:1,Prompted: LArmOut
19:49:24:2,Attempt: Correct
19:49:24:2,Prompted: LArmAcross
19:49:24:2,Attempt: Incorrect
19:49:24:2,Reprompting
19:49:24:2,Prompted: LArmAcross
19:49:24:2,Attempt: Incorrect
19:49:24:2,Reprompting
19:49:24:2,Prompted: LArmAcross
19:49:24:2,Attempt: Incorrect
19:49:24:2,Reprompting
19:49:24:2,Prompted: LArmAcross
19:49:24:3,Attempt: Correct
19:49:24:3,Prompted: RArmAcross
19:49:24:3,Attempt: Incorrect
19:49:24:3,Reprompting
19:49:24:3,Prompted: RArmAcross
19:49:24:3,Attempt: Incorrect
19:49:24:3,Reprompting
19:49:24:3,Prompted: RArmAcross
19:49:24:3,Attempt: Incorrect
19:49:24:3,Reprompting
19:49:24:3,Prompted: RArmAcross
19:49:24:4,Attempt: Correct
19:49:24:4,Prompted: LArmForward
19:49:24:4,Attempt: Correct
Total Correct:,5
Total Incorrect:,6
